Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
765,1.00,1.37,0.21,0.04
783,1.00,3.18,0.53,0.08
784,0.90,0.69,0.37,0.06
788,1.00,1.8,0.36,0.06
791,1.00,2.1,0.34,0.06
801,1.02,7.59,0.83,0.11
713,1.00,54.71,4,0.14
589,1.00,77,23,2
774,1.00,3.41,0.43,0.1
777,1.00,13.64,1.84,0.31
799,1.00,3.77,0.21,0.05
788,1.00,0.87,0.34,0.05
802,1.00,10.96,0.21,0.03
780,1.00,7.47,0.52,0.05
783,1.00,0.55,0.06,0.02
596,1.00,91,20,1
788,0.00,18,21,0
800,1.00,19.7,1.84,0.23
757,1.00,8.44,0.47,0.02
797,1.00,8.98,0.58,0.11
798,1.00,7.3,0.34,0.04
801,1.00,22.44,0.27,0.03
790,1.00,143.21,1.45,0.11
802,1.10,6.63,1.08,0.19
802,1.11,6.36,0.98,0.23
786,1.65,8.12,0.94,0.15
802,1.14,6.41,1.04,0.19
802,0.28,1.25,0.46,0.11
764,1.29,0.28,0.08,0.02
801,0.38,0.47,0.15,0.04
795,0.94,0.71,0.26,0.06
797,0.66,0.8,0.35,0.06
801,1.06,8.38,1.29,0.21
799,1.05,4.63,0.92,0.13
796,1.24,5.23,0.82,0.14
801,1.05,4.4,0.77,0.11
780,1.48,4.96,0.56,0.06
786,1.03,2.58,0.29,0.06
798,1.06,2.69,0.26,0.04
788,1.04,2.35,0.23,0.05
800,1.09,1.96,0.21,0.05
802,0.61,2.83,0.16,0.04
802,1.00,1.5,1.17,0.33
800,0.70,0.51,0.3,0.09
802,1.02,1.37,0.47,0.11
792,1.00,1.04,0.24,0.03
792,1.00,0.78,0.34,0.07
792,1.00,0.6,0.39,0.08
792,0.00,0,3,0
782,1.09,0.45,0.27,0.06
802,0.00,76,1,0
802,0.00,4,0,0
802,1.00,2.73,0.87,0.16
797,1.00,0.38,0.16,0.04
802,1.00,7.97,1.44,0.18
791,1.07,11.5,0.87,0.1
781,1.01,5.62,1.16,0.26
801,1.00,5.68,1.05,0.16
800,1.05,7.82,1.97,0.4
799,1.01,4.35,1.03,0.21
798,1.00,8.37,2.2,0.53
801,1.00,4.92,1.07,0.19
801,1.00,4.76,1.01,0.23
800,1.01,8.76,1.61,0.45
802,1.03,14.1,2.45,0.63
607,1.00,19,3,1
799,1.03,24.81,1.81,0.31
802,1.05,5.04,1.08,0.22
784,1.03,7.82,1.72,0.31
769,0.28,0.7,0.09,0.01
769,0.18,0.67,0.06,0.01
795,1.00,7.14,1.74,0.32
794,1.00,1.82,1.32,0.26
718,1.00,0.59,0.56,0.17
794,1.00,3.19,2.09,0.3
802,1.00,4.26,0.4,0.03
473,0.10,0.14,0.03,0.01
800,0.76,2.46,0.5,0.14
796,0.80,2.55,0.53,0.11
786,1.00,4.05,1,0.24
800,1.00,2.81,0.56,0.16
800,1.00,2.49,0.58,0.06
800,0.00,0,0,0
796,1.00,0.41,0.08,0.02
773,1.00,0.28,0.07,0.03
721,0.00,32,3,0
721,0.00,0,0,0
721,1.00,0.68,0.06,0.04
802,0.00,0,0,0
566,1.00,14,1,1
802,0.00,0,0,0
801,1.00,1.4,0.61,0.05
802,1.00,2.11,0.21,0.05
801,1.00,2.19,0.39,0.08
602,1.00,31,2,1
796,0.97,1.56,0.38,0.05
610,1.00,1.33,0.48,0.06
602,1.00,65.3,2.8,0.2
792,1.00,11.38,1.98,0.3
748,1.00,11.04,0.66,0.04
801,1.00,13.5,2.76,0.4
802,0.00,0,0,0
604,1.00,11,3,1
802,0.00,0,0,0
802,1.00,8.87,0.25,0.04
801,1.00,4.47,0.55,0.16
801,1.00,3.43,0.68,0.2
798,1.00,4.02,1.34,0.42
